Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-175,3-240,3-324,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268
2017-01-01 00:00:00,4.0,5.0,1.0,1.0,0.8846153846153846,7.0,18.0,22.0,0.0,2.0,8.0,42.0,62.0,31.0,36.0,1.0,6.0,2.0,1.0,2.0,5.0,0.0,1.0,1.0,1.0,1.0,3.0,5.0,40.0,68.0
2017-01-02 00:00:00,234.0,269.0,29.0,68.0,42.46153846153846,392.0,1040.0,1293.0,271.0,189.0,480.0,638.0,3651.0,569.0,686.0,66.0,387.0,130.0,51.0,89.0,308.0,66.0,54.0,51.0,32.0,35.0,43.0,95.0,760.0,1311.0
2017-01-03 00:00:00,265.0,306.0,34.0,79.0,50.42307692307692,448.0,1184.0,1475.0,318.0,214.0,549.0,508.0,4167.0,526.0,648.0,76.0,443.0,150.0,32.0,102.0,348.0,76.0,63.0,62.0,35.0,40.0,48.0,104.0,862.0,1501.0
2017-01-04 00:00:00,268.0,310.0,34.0,79.0,52.19230769230769,456.0,1202.0,1493.0,330.0,218.0,558.0,643.0,4220.0,520.0,714.0,76.0,448.0,151.0,56.0,103.0,353.0,81.0,65.0,63.0,36.0,40.0,49.0,105.0,877.0,1527.0
2017-01-05 00:00:00,291.0,340.0,37.0,83.0,53.96153846153846,494.0,1301.0,1627.0,322.0,237.0,606.0,396.0,4573.0,571.0,514.0,82.0,485.0,165.0,50.0,114.0,382.0,57.0,69.0,65.0,37.0,46.0,52.0,116.0,951.0,1650.0
2017-01-06 00:00:00,268.0,310.0,34.0,79.0,52.19230769230769,456.0,1202.0,1493.0,368.0,218.0,558.0,270.0,4220.0,523.0,489.0,76.0,448.0,151.0,47.0,103.0,353.0,103.0,65.0,63.0,36.0,40.0,49.0,107.0,880.0,1529.0
2017-01-07 00:00:00,260.0,303.0,34.0,79.0,50.42307692307692,443.0,1172.0,1454.0,325.0,208.0,542.0,421.0,4115.0,445.0,532.0,76.0,437.0,147.0,53.0,102.0,344.0,72.0,63.0,61.0,35.0,39.0,48.0,103.0,853.0,1487.0
2017-01-08 00:00:00,245.0,289.0,32.0,71.0,48.65384615384615,422.0,1104.0,1376.0,285.0,197.0,513.0,500.0,3888.0,434.0,617.0,71.0,411.0,138.0,24.0,96.0,325.0,21.0,61.0,55.0,34.0,37.0,46.0,97.0,810.0,1404.0
2017-01-09 00:00:00,234.0,269.0,29.0,68.0,42.46153846153846,392.0,1043.0,1297.0,344.0,189.0,481.0,473.0,3662.0,340.0,599.0,66.0,387.0,130.0,32.0,89.0,308.0,42.0,54.0,51.0,32.0,35.0,43.0,95.0,766.0,1321.0
2017-01-10 00:00:00,265.0,306.0,34.0,79.0,50.42307692307692,448.0,1184.0,1475.0,303.0,214.0,549.0,312.0,4167.0,305.0,567.0,76.0,443.0,150.0,36.0,102.0,348.0,66.0,63.0,62.0,35.0,40.0,48.0,104.0,862.0,1501.0
