Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-175,3-240,3-324,3-332,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268,9-18,9-60,10-60
2021-01-01 00:00:00,32,116,29,83,14,212,159,915,148.0,76,503,581.0,no data,1447,402,439,80,131.0,42,0,32,163,7,15,21,5,20,62,50,235,no data,no data,no data,14
2021-01-02 00:00:00,51,111,28,134,37,196,529,861,192.0,89,527,650.0,no data,2312,393,467,63,204.0,92,6,65,249,37,48,22,23,0,71,63,227,no data,no data,no data,22
2021-01-03 00:00:00,108,124,37,154,25,226,541,819,255.0,127,546,625.0,no data,2012,368,402,78,213.0,76,5,50,259,36,39,27,24,40,52,52,154,no data,no data,no data,11
2021-01-04 00:00:00,109,125,44,177,41,231,876,1280,230.0,158,473,624.0,no data,3408,316,337,25,227.0,77,2,51,232,47,63,42,10,20,56,55,312,no data,no data,no data,25
2021-01-05 00:00:00,142,139,60,184,54,248,666,1344,270.0,162,463,654.0,no data,3489,305,337,41,151.0,94,8,48,210,61,108,49,31,0,65,67,313,no data,no data,no data,24
2021-01-06 00:00:00,114,125,39,210,54,231,876,1346,327.0,192,552,714.0,no data,3462,385,424,52,211.0,98,32,53,200,99,159,39,33,30,46,50,235,no data,no data,no data,23
2021-01-07 00:00:00,148,123,33,162,61,221,764,1319,299.0,176,589,590.0,no data,3487,402,407,45,274.0,76,37,48,256,60,90,44,21,10,76,87,335,no data,no data,no data,27
2021-01-08 00:00:00,123,116,38,213,57,212,764,1367,317.0,169,606,483.0,no data,4020,426,445,46,276.0,109,6,67,247,35,36,44,35,40,72,85,293,no data,no data,no data,42
2021-01-09 00:00:00,102,111,45,172,63,196,396,987,261.0,141,618,529.0,no data,3072,709,649,126,243.0,107,0,75,398,10,15,18,39,30,66,91,308,no data,no data,no data,42
2021-01-10 00:00:00,93,124,30,117,48,226,293,840,236.0,134,704,550.0,no data,2314,484,503,100,309.0,71,0,54,269,15,15,18,18,40,68,69,196,no data,no data,no data,31
2021-01-11 00:00:00,104,125,30,211,40,231,654,1389,222.0,143,385,502.0,no data,3482,319,358,36,174.0,94,14,54,166,64,72,40,37,40,72,82,335,no data,no data,no data,33
2021-01-12 00:00:00,171,139,33,201,49,248,764,1234,320.0,190,424,517.0,no data,3637,329,349,46,131.0,112,13,75,157,75,129,41,22,30,64,79,315,no data,no data,no data,26
2021-01-13 00:00:00,136,125,37,232,30,231,850,1190,306.0,160,597,561.0,no data,3800,324,363,24,217.0,93,3,65,179,34,45,39,15,10,60,71,231,no data,no data,no data,40
2021-01-14 00:00:00,120,123,25,232,53,221,728,1247,289.0,164,653,754.0,no data,3754,357,387,33,269.0,109,14,52,217,79,108,46,28,10,74,64,341,no data,no data,no data,26
