Date,1-58,1-85,1-322,1-468,1-477,2-10,2-32,2-42,3-026,3-34,3-175,3-240,3-324,3-332,3-338,4-1,4-10,4-43,5-1,5-19,5-65,5-232,5-257,6-30,6-74,7-35,7-253,8-34,8-106,8-243,8-260,8-268,9-18,9-60,10-60
2023-01-01 00:00:00,106,143.0,30,116.0,31,69,566.0,1821,177.0,31.0,80,285.0,289,472.0,1913,578,503.0,72,132.0,138,22.0,34,226,35,17,37.0,8,12,139.0,49,204,446.0,24,8,11
2023-01-02 00:00:00,162,250.0,37,188.0,37,100,812.0,1718,319.0,109.0,173,400.0,426,661.0,2761,478,479.0,72,220.0,170,24.0,52,345,37,21,86.0,15,31,142.0,89,267,564.0,24,17,10
2023-01-03 00:00:00,175,256.0,72,226.0,28,114,1065.0,1634,313.0,123.0,170,487.0,515,799.0,3877,428,443.0,43,310.0,201,23.0,37,358,42,24,75.0,22,34,149.0,79,313,639.0,19,18,15
2023-01-04 00:00:00,175,235.0,93,206.0,38,119,1089.0,2549,342.0,148.0,204,525.0,559,885.0,4134,432,402.0,26,302.0,248,31.0,57,322,37,29,113.0,14,19,91.0,51,253,539.0,24,20,19
2023-01-05 00:00:00,151,276.0,67,213.0,50,120,1080.0,2674,319.0,132.0,174,537.0,579,919.0,4209,461,421.0,31,270.0,286,43.0,90,288,43,40,137.0,23,21,85.0,75,314,653.0,33,19,7
2023-01-06 00:00:00,157,245.0,78,240.0,41,78,1177.0,2678,317.0,108.0,173,557.0,641,993.0,4452,546,500.0,49,312.0,297,35.0,75,277,53,31,96.0,24,20,110.0,88,357,739.0,27,19,0
2023-01-07 00:00:00,168,225.0,88,182.0,46,68,989.0,2626,258.0,94.0,142,406.0,505,804.0,3440,582,537.0,68,276.0,269,36.0,56,350,77,53,88.0,20,32,123.0,98,274,544.0,29,23,0
2023-01-08 00:00:00,146,204.0,69,201.0,57,121,683.0,2719,263.0,95.0,150,413.0,465,741.0,2839,482,513.0,61,178.0,219,32.0,56,342,57,37,67.0,9,32,122.0,94,230,538.0,29,23,4
2023-01-09 00:00:00,107,213.0,48,219.0,30,95,1071.0,1963,290.0,114.0,175,471.0,511,767.0,4436,387,356.0,21,325.0,167,33.0,89,551,40,16,74.0,21,19,77.0,53,316,651.0,29,14,20
2023-01-10 00:00:00,139,191.0,48,242.0,45,114,1033.0,1674,328.0,162.0,197,457.0,515,805.0,4439,377,395.0,18,278.0,284,44.0,53,372,70,52,75.0,15,5,73.0,62,303,607.0,30,17,21
2023-01-11 00:00:00,204,202.0,42,238.0,31,97,1083.0,2766,295.0,117.0,171,460.0,538,800.0,4578,300,356.0,34,300.0,272,39.0,69,227,64,44,83.0,26,4,82.0,63,324,641.0,41,18,23
2023-01-12 00:00:00,189,224.0,45,239.0,31,133,1078.0,2458,304.0,125.0,197,521.0,542,851.0,4301,321,369.0,51,289.0,257,33.0,64,216,67,46,70.0,30,21,117.0,78,342,667.0,41,15,10
