Date,3-026
2015-01-01,0.0
2015-01-02,265.0
2015-01-03,294.0
2015-01-04,303.0
2015-01-05,296.0
2015-01-06,261.0
2015-01-07,257.0
2015-01-08,278.0
2015-01-09,370.0
2015-01-10,245.0
2015-01-11,299.0
2015-01-12,270.0
2015-01-13,315.0
2015-01-14,287.0
2015-01-15,331.0
2015-01-16,357.0
2015-01-17,305.0
2015-01-18,274.0
2015-01-19,300.0
2015-01-20,309.0
2015-01-21,351.0
2015-01-22,364.0
2015-01-23,337.0
2015-01-24,262.0
2015-01-25,238.0
2015-01-26,234.0
2015-01-27,257.0
2015-01-28,278.0
2015-01-29,362.0
2015-01-30,386.0
2015-01-31,318.0
2015-02-01,239.0
2015-02-02,362.0
2015-02-03,319.0
2015-02-04,344.0
2015-02-05,382.0
2015-02-06,432.0
2015-02-07,326.0
2015-02-08,390.0
2015-02-09,342.0
2015-02-10,289.0
2015-02-11,359.0
2015-02-12,379.0
2015-02-13,428.0
2015-02-14,421.0
2015-02-15,375.0
2015-02-16,353.0
2015-02-17,334.0
2015-02-18,388.0
2015-02-19,456.0
2015-02-20,499.0
2015-02-21,400.0
2015-02-22,391.0
2015-02-23,414.0
2015-02-24,363.0
2015-02-25,394.0
2015-02-26,483.0
2015-02-27,560.0
2015-02-28,427.0
2015-03-01,302.0
2015-03-02,454.0
2015-03-03,372.0
2015-03-04,408.0
2015-03-05,437.0
2015-03-06,479.0
2015-03-07,436.0
2015-03-08,466.0
2015-03-09,417.0
2015-03-10,456.0
2015-03-11,478.0
2015-03-12,453.0
2015-03-13,584.0
2015-03-14,482.0
2015-03-15,388.0
2015-03-16,461.0
2015-03-17,500.0
2015-03-18,429.0
2015-03-19,480.0
2015-03-20,504.0
2015-03-21,486.0
2015-03-22,477.0
2015-03-23,465.0
2015-03-24,509.0
2015-03-25,480.0
2015-03-26,495.0
2015-03-27,530.0
2015-03-28,480.0
2015-03-29,375.0
2015-03-30,390.0
2015-03-31,326.0
2015-04-01,231.0
2015-04-02,395.0
2015-04-03,428.0
2015-04-04,273.0
2015-04-05,219.0
2015-04-06,307.0
2015-04-07,299.0
2015-04-08,288.0
2015-04-09,310.0
2015-04-10,345.0
2015-04-11,259.0
2015-04-12,245.0
2015-04-13,257.0
2015-04-14,240.0
2015-04-15,266.0
2015-04-16,277.0
2015-04-17,291.0
2015-04-18,279.0
2015-04-19,250.0
2015-04-20,255.0
2015-04-21,268.0
2015-04-22,271.0
2015-04-23,323.0
2015-04-24,339.0
2015-04-25,330.0
2015-04-26,295.0
2015-04-27,357.0
2015-04-28,332.0
2015-04-29,319.0
2015-04-30,364.0
2015-05-01,284.0
2015-05-02,403.0
2015-05-03,392.0
2015-05-04,307.0
2015-05-05,312.0
2015-05-06,410.0
2015-05-07,361.0
2015-05-08,396.0
2015-05-09,372.0
2015-05-10,424.0
2015-05-11,374.0
2015-05-12,353.0
2015-05-13,369.0
2015-05-14,371.0
2015-05-15,501.0
2015-05-16,512.0
2015-05-17,389.0
2015-05-18,490.0
2015-05-19,437.0
2015-05-20,400.0
2015-05-21,443.0
2015-05-22,469.0
2015-05-23,487.0
2015-05-24,549.0
2015-05-25,461.0
2015-05-26,461.0
2015-05-27,457.0
2015-05-28,446.0
2015-05-29,524.0
2015-05-30,494.0
2015-05-31,443.0
2015-06-01,312.0
2015-06-02,507.0
2015-06-03,630.0
2015-06-04,605.0
2015-06-05,722.0
2015-06-06,552.0
2015-06-07,455.0
2015-06-08,446.0
2015-06-09,424.0
2015-06-10,452.0
2015-06-11,464.0
2015-06-12,562.0
2015-06-13,490.0
2015-06-14,447.0
2015-06-15,441.0
2015-06-16,416.0
2015-06-17,456.0
2015-06-18,482.0
2015-06-19,516.0
2015-06-20,537.0
2015-06-21,439.0
2015-06-22,499.0
2015-06-23,443.0
2015-06-24,449.0
2015-06-25,474.0
2015-06-26,570.0
2015-06-27,675.0
2015-06-28,547.0
2015-06-29,516.0
2015-06-30,490.0
2015-07-01,292.0
2015-07-02,468.0
2015-07-03,476.0
2015-07-04,484.0
2015-07-05,440.0
2015-07-06,416.0
2015-07-07,483.0
2015-07-08,453.0
2015-07-09,430.0
2015-07-10,501.0
2015-07-11,456.0
2015-07-12,425.0
2015-07-13,380.0
2015-07-14,359.0
2015-07-15,438.0
2015-07-16,513.0
2015-07-17,569.0
2015-07-18,528.0
2015-07-19,410.0
2015-07-20,448.0
2015-07-21,416.0
2015-07-22,425.0
2015-07-23,460.0
2015-07-24,416.0
2015-07-25,400.0
2015-07-26,409.0
2015-07-27,426.0
2015-07-28,398.0
2015-07-29,404.0
2015-07-30,451.0
2015-07-31,488.0
2015-08-01,318.0
2015-08-02,457.0
2015-08-03,519.0
2015-08-04,521.0
2015-08-05,399.0
2015-08-06,414.0
2015-08-07,450.0
2015-08-08,480.0
2015-08-09,436.0
2015-08-10,466.0
2015-08-11,437.0
2015-08-12,434.0
2015-08-13,444.0
2015-08-14,486.0
2015-08-15,480.0
2015-08-16,400.0
2015-08-17,424.0
2015-08-18,413.0
2015-08-19,415.0
2015-08-20,469.0
2015-08-21,525.0
2015-08-22,646.0
2015-08-23,570.0
2015-08-24,465.0
2015-08-25,397.0
2015-08-26,399.0
2015-08-27,441.0
2015-08-28,412.0
2015-08-29,517.0
2015-08-30,396.0
2015-08-31,391.0
2015-09-01,317.0
2015-09-02,407.0
2015-09-03,405.0
2015-09-04,468.0
2015-09-05,502.0
2015-09-06,339.0
2015-09-07,446.0
2015-09-08,391.0
2015-09-09,396.0
2015-09-10,425.0
2015-09-11,465.0
2015-09-12,401.0
2015-09-13,341.0
2015-09-14,366.0
2015-09-15,379.0
2015-09-16,406.0
2015-09-17,422.0
2015-09-18,530.0
2015-09-19,413.0
2015-09-20,382.0
2015-09-21,348.0
2015-09-22,427.0
2015-09-23,413.0
2015-09-24,377.0
2015-09-25,414.0
2015-09-26,381.0
2015-09-27,320.0
2015-09-28,395.0
2015-09-29,394.0
2015-09-30,433.0
2015-10-01,308.0
2015-10-02,502.0
2015-10-03,365.0
2015-10-04,354.0
2015-10-05,362.0
2015-10-06,334.0
2015-10-07,395.0
2015-10-08,378.0
2015-10-09,524.0
2015-10-10,430.0
2015-10-11,302.0
2015-10-12,455.0
2015-10-13,358.0
2015-10-14,362.0
2015-10-15,349.0
2015-10-16,370.0
2015-10-17,265.0
2015-10-18,291.0
2015-10-19,325.0
2015-10-20,347.0
2015-10-21,328.0
2015-10-22,331.0
2015-10-23,361.0
2015-10-24,316.0
2015-10-25,323.0
2015-10-26,275.0
2015-10-27,279.0
2015-10-28,333.0
2015-10-29,370.0
2015-10-30,336.0
2015-10-31,263.0
2015-11-01,202.0
2015-11-02,252.0
2015-11-03,306.0
2015-11-04,313.0
2015-11-05,338.0
2015-11-06,348.0
2015-11-07,332.0
2015-11-08,242.0
2015-11-09,259.0
2015-11-10,286.0
2015-11-11,315.0
2015-11-12,274.0
2015-11-13,337.0
2015-11-14,293.0
2015-11-15,275.0
2015-11-16,266.0
2015-11-17,294.0
2015-11-18,298.0
2015-11-19,307.0
2015-11-20,326.0
2015-11-21,293.0
2015-11-22,262.0
2015-11-23,322.0
2015-11-24,297.0
2015-11-25,297.0
2015-11-26,294.0
2015-11-27,387.0
2015-11-28,274.0
2015-11-29,282.0
2015-11-30,269.0
2015-12-01,206.0
2015-12-02,390.0
2015-12-03,219.0
2015-12-04,307.0
2015-12-05,282.0
2015-12-06,265.0
2015-12-07,260.0
2015-12-08,271.0
2015-12-09,312.0
2015-12-10,345.0
2015-12-11,313.0
2015-12-12,308.0
2015-12-13,252.0
2015-12-14,261.0
2015-12-15,295.0
2015-12-16,225.0
2015-12-17,318.0
2015-12-18,324.0
2015-12-19,408.0
2015-12-20,290.0
2015-12-21,270.0
2015-12-22,348.0
2015-12-23,372.0
2015-12-24,326.0
2015-12-25,155.0
2015-12-26,139.0
2015-12-27,167.0
2015-12-28,184.0
2015-12-29,233.0
2015-12-30,267.0
2015-12-31,19.0
2016-01-01,0.0
2016-01-02,265.0
2016-01-03,294.0
2016-01-04,303.0
2016-01-05,296.0
2016-01-06,261.0
2016-01-07,257.0
2016-01-08,278.0
2016-01-09,370.0
2016-01-10,245.0
2016-01-11,299.0
2016-01-12,270.0
2016-01-13,315.0
2016-01-14,287.0
2016-01-15,331.0
2016-01-16,357.0
2016-01-17,305.0
2016-01-18,274.0
2016-01-19,300.0
2016-01-20,309.0
2016-01-21,351.0
2016-01-22,364.0
2016-01-23,337.0
2016-01-24,262.0
2016-01-25,238.0
2016-01-26,234.0
2016-01-27,257.0
2016-01-28,278.0
2016-01-29,362.0
2016-01-30,386.0
2016-01-31,318.0
2016-02-01,239.0
2016-02-02,362.0
2016-02-03,319.0
2016-02-04,344.0
2016-02-05,382.0
2016-02-06,432.0
2016-02-07,326.0
2016-02-08,390.0
2016-02-09,342.0
2016-02-10,289.0
2016-02-11,359.0
2016-02-12,379.0
2016-02-13,428.0
2016-02-14,421.0
2016-02-15,375.0
2016-02-16,353.0
2016-02-17,334.0
2016-02-18,388.0
2016-02-19,456.0
2016-02-20,499.0
2016-02-21,400.0
2016-02-22,391.0
2016-02-23,414.0
2016-02-24,363.0
2016-02-25,394.0
2016-02-26,483.0
2016-02-27,560.0
2016-02-28,427.0
2016-02-29,302.0
2016-03-01,454.0
2016-03-02,372.0
2016-03-03,408.0
2016-03-04,437.0
2016-03-05,479.0
2016-03-06,436.0
2016-03-07,466.0
2016-03-08,417.0
2016-03-09,456.0
2016-03-10,478.0
2016-03-11,453.0
2016-03-12,584.0
2016-03-13,482.0
2016-03-14,388.0
2016-03-15,461.0
2016-03-16,500.0
2016-03-17,429.0
2016-03-18,480.0
2016-03-19,504.0
2016-03-20,486.0
2016-03-21,477.0
2016-03-22,465.0
2016-03-23,509.0
2016-03-24,480.0
2016-03-25,495.0
2016-03-26,530.0
2016-03-27,480.0
2016-03-28,375.0
2016-03-29,390.0
2016-03-30,326.0
2016-03-31,480.0
2016-04-01,363.0
2016-04-02,305.0
2016-04-03,302.0
2016-04-04,287.0
2016-04-05,291.0
2016-04-06,311.0
2016-04-07,295.0
2016-04-08,264.0
2016-04-09,265.0
2016-04-10,292.0
2016-04-11,241.0
2016-04-12,252.0
2016-04-13,281.0
2016-04-14,312.0
2016-04-15,287.0
2016-04-16,318.0
2016-04-17,343.0
2016-04-18,254.0
2016-04-19,316.0
2016-04-20,340.0
2016-04-21,404.0
2016-04-22,339.0
2016-04-23,336.0
2016-04-24,321.0
2016-04-25,336.0
2016-04-26,382.0
2016-04-27,407.0
2016-04-28,473.0
2016-04-29,456.0
2016-04-30,310.0
2016-05-01,310.0
2016-05-02,413.0
2016-05-03,419.0
2016-05-04,423.0
2016-05-05,441.0
2016-05-06,452.0
2016-05-07,379.0
2016-05-08,347.0
2016-05-09,416.0
2016-05-10,383.0
2016-05-11,401.0
2016-05-12,397.0
2016-05-13,437.0
2016-05-14,411.0
2016-05-15,395.0
2016-05-16,401.0
2016-05-17,360.0
2016-05-18,376.0
2016-05-19,419.0
2016-05-20,507.0
2016-05-21,618.0
2016-05-22,467.0
2016-05-23,537.0
2016-05-24,382.0
2016-05-25,408.0
2016-05-26,351.0
2016-05-27,482.0
2016-05-28,413.0
2016-05-29,433.0
2016-05-30,437.0
2016-05-31,420.0
2016-06-01,406.0
2016-06-02,477.0
2016-06-03,565.0
2016-06-04,499.0
2016-06-05,481.0
2016-06-06,502.0
2016-06-07,393.0
2016-06-08,412.0
2016-06-09,463.0
2016-06-10,467.0
2016-06-11,466.0
2016-06-12,498.0
